
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:443            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:7070           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49676          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:28385        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:28390        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49350        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49350        127.0.0.1:54075        CLOSE_WAIT
  TCP    127.0.0.1:49351        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:51939        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:53722        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53723        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53724        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53725        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53726        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53727        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53728        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53729        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53730        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53731        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53732        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53733        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53734        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53735        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53736        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53737        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53738        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53739        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53740        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53741        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53742        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53743        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53744        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53745        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53746        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53747        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53748        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53749        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53750        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53751        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53752        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53753        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53754        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53755        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53756        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53757        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53758        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53759        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53760        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53761        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53762        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53763        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53764        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53765        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53766        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53767        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53768        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53769        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53770        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53772        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53773        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53774        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53775        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53776        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53777        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53778        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53779        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53780        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53781        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53782        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53783        127.0.0.1:49350        TIME_WAIT
